,state,date,Region,MONTH_NAME
494,MISSISSIPPI,2023-12-14,SOUTH,December
495,VIRGINIA,2022-01-04,SOUTHEAST,January
496,ALABAMA,2019-01-09,SOUTHEAST,January
497,GEORGIA,2022-01-24,SOUTHEAST,January
498,GEORGIA,2020-01-27,SOUTHEAST,January
499,FLORIDA,2021-01-11,SOUTHEAST,January
500,VIRGINIA,2021-01-14,SOUTHEAST,January
501,VIRGINIA,2022-01-19,SOUTHEAST,January
502,GEORGIA,2019-01-22,SOUTHEAST,January
503,GEORGIA,2021-01-09,SOUTHEAST,January
504,FLORIDA,2022-01-29,SOUTHEAST,January
505,NORTH CAROLINA,2019-01-25,SOUTHEAST,January
506,VIRGINIA,2020-01-20,SOUTHEAST,January
507,VIRGINIA,2023-01-29,SOUTHEAST,January
508,VIRGINIA,2021-01-02,SOUTHEAST,January
509,SOUTH CAROLINA,2022-02-09,SOUTHEAST,February
510,GEORGIA,2021-02-16,SOUTHEAST,February
511,SOUTH CAROLINA,2019-02-01,SOUTHEAST,February
512,NORTH CAROLINA,2019-02-05,SOUTHEAST,February
513,FLORIDA,2020-02-28,SOUTHEAST,February
514,ALABAMA,2023-02-05,SOUTHEAST,February
515,NORTH CAROLINA,2022-02-13,SOUTHEAST,February
516,VIRGINIA,2023-02-11,SOUTHEAST,February
517,ALABAMA,2022-02-24,SOUTHEAST,February
518,NORTH CAROLINA,2020-03-05,SOUTHEAST,March
519,SOUTH CAROLINA,2022-03-01,SOUTHEAST,March
520,SOUTH CAROLINA,2021-03-20,SOUTHEAST,March
521,FLORIDA,2023-03-08,SOUTHEAST,March
522,FLORIDA,2021-03-03,SOUTHEAST,March
523,ALABAMA,2022-03-19,SOUTHEAST,March
524,GEORGIA,2020-03-26,SOUTHEAST,March
525,FLORIDA,2022-03-19,SOUTHEAST,March
526,ALABAMA,2019-03-21,SOUTHEAST,March
527,GEORGIA,2019-03-08,SOUTHEAST,March
528,FLORIDA,2019-03-16,SOUTHEAST,March
529,ALABAMA,2020-03-26,SOUTHEAST,March
530,SOUTH CAROLINA,2019-03-21,SOUTHEAST,March
531,NORTH CAROLINA,2023-03-07,SOUTHEAST,March
532,NORTH CAROLINA,2021-03-10,SOUTHEAST,March
533,SOUTH CAROLINA,2023-03-06,SOUTHEAST,March
534,SOUTH CAROLINA,2019-03-25,SOUTHEAST,March
535,ALABAMA,2019-03-19,SOUTHEAST,March
536,ALABAMA,2021-03-11,SOUTHEAST,March
537,ALABAMA,2023-03-10,SOUTHEAST,March
538,NORTH CAROLINA,2019-04-04,SOUTHEAST,April
539,VIRGINIA,2020-04-05,SOUTHEAST,April
540,SOUTH CAROLINA,2022-04-08,SOUTHEAST,April
541,GEORGIA,2022-04-10,SOUTHEAST,April
542,GEORGIA,2021-04-05,SOUTHEAST,April
543,SOUTH CAROLINA,2021-04-01,SOUTHEAST,April
544,FLORIDA,2021-04-29,SOUTHEAST,April
545,ALABAMA,2023-04-24,SOUTHEAST,April
546,SOUTH CAROLINA,2022-04-02,SOUTHEAST,April
547,ALABAMA,2023-04-11,SOUTHEAST,April
548,VIRGINIA,2022-04-16,SOUTHEAST,April
549,ALABAMA,2022-04-14,SOUTHEAST,April
550,NORTH CAROLINA,2019-04-09,SOUTHEAST,April
551,NORTH CAROLINA,2020-04-18,SOUTHEAST,April
552,SOUTH CAROLINA,2023-04-07,SOUTHEAST,April
553,FLORIDA,2022-04-16,SOUTHEAST,April
554,NORTH CAROLINA,2020-04-03,SOUTHEAST,April
555,FLORIDA,2023-04-09,SOUTHEAST,April
556,GEORGIA,2020-04-10,SOUTHEAST,April
557,ALABAMA,2023-04-08,SOUTHEAST,April
558,VIRGINIA,2019-04-01,SOUTHEAST,April
559,NORTH CAROLINA,2020-04-04,SOUTHEAST,April
560,FLORIDA,2023-04-17,SOUTHEAST,April
561,FLORIDA,2020-04-16,SOUTHEAST,April
562,SOUTH CAROLINA,2023-04-18,SOUTHEAST,April
563,ALABAMA,2022-04-16,SOUTHEAST,April
564,VIRGINIA,2020-05-10,SOUTHEAST,May
565,NORTH CAROLINA,2023-05-01,SOUTHEAST,May
566,VIRGINIA,2019-05-10,SOUTHEAST,May
567,VIRGINIA,2022-05-28,SOUTHEAST,May
568,VIRGINIA,2020-05-02,SOUTHEAST,May
569,SOUTH CAROLINA,2022-05-14,SOUTHEAST,May
570,GEORGIA,2022-05-10,SOUTHEAST,May
571,GEORGIA,2021-05-01,SOUTHEAST,May
572,NORTH CAROLINA,2023-05-01,SOUTHEAST,May
573,SOUTH CAROLINA,2023-05-17,SOUTHEAST,May
574,NORTH CAROLINA,2023-05-02,SOUTHEAST,May
575,ALABAMA,2022-05-29,SOUTHEAST,May
576,SOUTH CAROLINA,2020-05-31,SOUTHEAST,May
577,SOUTH CAROLINA,2021-05-08,SOUTHEAST,May
578,NORTH CAROLINA,2020-05-10,SOUTHEAST,May
579,NORTH CAROLINA,2021-05-08,SOUTHEAST,May
580,NORTH CAROLINA,2020-05-02,SOUTHEAST,May
581,VIRGINIA,2021-05-01,SOUTHEAST,May
582,VIRGINIA,2023-05-01,SOUTHEAST,May
583,NORTH CAROLINA,2019-06-10,SOUTHEAST,June
584,SOUTH CAROLINA,2020-06-25,SOUTHEAST,June
585,GEORGIA,2021-06-15,SOUTHEAST,June
586,GEORGIA,2022-06-22,SOUTHEAST,June
587,NORTH CAROLINA,2022-06-02,SOUTHEAST,June
588,VIRGINIA,2023-06-04,SOUTHEAST,June
589,GEORGIA,2021-06-15,SOUTHEAST,June
590,NORTH CAROLINA,2022-06-01,SOUTHEAST,June
591,SOUTH CAROLINA,2021-06-30,SOUTHEAST,June
592,FLORIDA,2023-06-20,SOUTHEAST,June
593,ALABAMA,2020-06-15,SOUTHEAST,June
594,FLORIDA,2022-06-27,SOUTHEAST,June
595,VIRGINIA,2022-06-28,SOUTHEAST,June
596,FLORIDA,2021-06-15,SOUTHEAST,June
597,ALABAMA,2022-07-14,SOUTHEAST,July
598,ALABAMA,2020-07-30,SOUTHEAST,July
599,ALABAMA,2020-07-13,SOUTHEAST,July
600,VIRGINIA,2022-07-10,SOUTHEAST,July
601,SOUTH CAROLINA,2020-07-13,SOUTHEAST,July
602,GEORGIA,2023-07-23,SOUTHEAST,July
603,ALABAMA,2020-07-28,SOUTHEAST,July
604,VIRGINIA,2021-07-22,SOUTHEAST,July
605,GEORGIA,2020-08-20,SOUTHEAST,August
606,SOUTH CAROLINA,2019-08-28,SOUTHEAST,August
607,ALABAMA,2021-08-15,SOUTHEAST,August
608,NORTH CAROLINA,2022-08-13,SOUTHEAST,August
609,VIRGINIA,2023-08-31,SOUTHEAST,August
610,FLORIDA,2023-08-02,SOUTHEAST,August
611,GEORGIA,2023-08-27,SOUTHEAST,August
612,ALABAMA,2022-08-31,SOUTHEAST,August
613,NORTH CAROLINA,2020-08-12,SOUTHEAST,August
614,SOUTH CAROLINA,2023-08-29,SOUTHEAST,August
615,ALABAMA,2022-08-09,SOUTHEAST,August
616,VIRGINIA,2022-08-03,SOUTHEAST,August
617,NORTH CAROLINA,2019-08-01,SOUTHEAST,August
618,GEORGIA,2019-08-16,SOUTHEAST,August
619,GEORGIA,2021-09-15,SOUTHEAST,September
620,VIRGINIA,2023-09-30,SOUTHEAST,September
621,VIRGINIA,2020-09-23,SOUTHEAST,September
622,FLORIDA,2021-09-11,SOUTHEAST,September
623,FLORIDA,2023-09-07,SOUTHEAST,September
624,GEORGIA,2021-09-03,SOUTHEAST,September
625,ALABAMA,2020-09-04,SOUTHEAST,September
626,VIRGINIA,2020-10-16,SOUTHEAST,October
627,FLORIDA,2023-10-06,SOUTHEAST,October
628,NORTH CAROLINA,2021-10-08,SOUTHEAST,October
629,VIRGINIA,2023-10-27,SOUTHEAST,October
630,FLORIDA,2022-10-09,SOUTHEAST,October
631,ALABAMA,2022-10-19,SOUTHEAST,October
632,NORTH CAROLINA,2020-10-25,SOUTHEAST,October
633,GEORGIA,2023-10-24,SOUTHEAST,October
634,NORTH CAROLINA,2020-11-08,SOUTHEAST,November
635,NORTH CAROLINA,2023-11-24,SOUTHEAST,November
636,GEORGIA,2019-11-28,SOUTHEAST,November
637,VIRGINIA,2020-11-22,SOUTHEAST,November
638,NORTH CAROLINA,2022-11-07,SOUTHEAST,November
639,VIRGINIA,2022-12-06,SOUTHEAST,December
640,GEORGIA,2020-12-15,SOUTHEAST,December
641,VIRGINIA,2022-12-26,SOUTHEAST,December
642,VIRGINIA,2021-12-01,SOUTHEAST,December
643,ALABAMA,2021-12-02,SOUTHEAST,December
644,FLORIDA,2021-12-26,SOUTHEAST,December
645,SOUTH CAROLINA,2020-12-01,SOUTHEAST,December
646,VIRGINIA,2023-12-02,SOUTHEAST,December
647,SOUTH CAROLINA,2020-12-12,SOUTHEAST,December
648,NORTH CAROLINA,2022-12-26,SOUTHEAST,December
649,VIRGINIA,2023-12-21,SOUTHEAST,December
650,NEW MEXICO,2019-03-08,SOUTHWEST,March
651,UTAH,2019-03-27,SOUTHWEST,March
652,ARIZONA,2023-04-17,SOUTHWEST,April
653,COLORADO,2022-05-28,SOUTHWEST,May
654,ARIZONA,2020-05-11,SOUTHWEST,May
655,ARIZONA,2020-05-11,SOUTHWEST,May
656,NEW MEXICO,2023-05-02,SOUTHWEST,May
657,COLORADO,2020-05-09,SOUTHWEST,May
658,UTAH,2022-05-14,SOUTHWEST,May
659,ARIZONA,2023-05-21,SOUTHWEST,May
660,NEW MEXICO,2023-05-03,SOUTHWEST,May
661,COLORADO,2022-05-22,SOUTHWEST,May
662,COLORADO,2020-05-11,SOUTHWEST,May
663,UTAH,2023-05-20,SOUTHWEST,May
664,ARIZONA,2023-05-17,SOUTHWEST,May
665,UTAH,2023-05-17,SOUTHWEST,May
666,NEW MEXICO,2020-06-12,SOUTHWEST,June
667,NEW MEXICO,2020-06-12,SOUTHWEST,June
668,ARIZONA,2020-06-15,SOUTHWEST,June
669,ARIZONA,2021-06-28,SOUTHWEST,June
670,NEW MEXICO,2020-06-30,SOUTHWEST,June
671,NEW MEXICO,2020-06-05,SOUTHWEST,June
672,NEW MEXICO,2019-06-28,SOUTHWEST,June
673,COLORADO,2022-06-18,SOUTHWEST,June
674,COLORADO,2020-06-03,SOUTHWEST,June
675,COLORADO,2020-06-05,SOUTHWEST,June
676,ARIZONA,2020-06-03,SOUTHWEST,June
677,COLORADO,2020-06-23,SOUTHWEST,June
678,ARIZONA,2022-06-18,SOUTHWEST,June
679,COLORADO,2021-06-30,SOUTHWEST,June
680,UTAH,2019-07-07,SOUTHWEST,July
681,ARIZONA,2022-07-27,SOUTHWEST,July
682,UTAH,2021-07-19,SOUTHWEST,July
683,COLORADO,2021-07-22,SOUTHWEST,July
684,NEW MEXICO,2021-07-16,SOUTHWEST,July
685,NEW MEXICO,2019-07-02,SOUTHWEST,July
686,ARIZONA,2022-07-04,SOUTHWEST,July
687,COLORADO,2019-07-31,SOUTHWEST,July
688,COLORADO,2022-07-25,SOUTHWEST,July
689,ARIZONA,2019-07-13,SOUTHWEST,July
690,UTAH,2020-07-13,SOUTHWEST,July
691,ARIZONA,2021-07-19,SOUTHWEST,July
692,NEW MEXICO,2022-07-27,SOUTHWEST,July
693,UTAH,2022-08-02,SOUTHWEST,August
694,COLORADO,2019-08-14,SOUTHWEST,August
695,COLORADO,2022-08-09,SOUTHWEST,August
696,NEW MEXICO,2020-08-05,SOUTHWEST,August
697,ARIZONA,2021-08-15,SOUTHWEST,August
698,COLORADO,2023-08-19,SOUTHWEST,August
699,NEW MEXICO,2023-08-19,SOUTHWEST,August
700,UTAH,2023-09-14,SOUTHWEST,September
701,COLORADO,2023-09-18,SOUTHWEST,September
702,COLORADO,2022-09-05,SOUTHWEST,September
703,COLORADO,2021-09-28,SOUTHWEST,September
704,COLORADO,2023-10-04,SOUTHWEST,October
705,NEW MEXICO,2021-10-04,SOUTHWEST,October
706,ARIZONA,2020-11-01,SOUTHWEST,November
707,MINNESOTA,2022-03-02,UPPER MIDWEST,March
708,MICHIGAN,2019-03-08,UPPER MIDWEST,March
709,IOWA,2019-03-28,UPPER MIDWEST,March
710,WISCONSIN,2020-04-06,UPPER MIDWEST,April
711,MINNESOTA,2023-04-09,UPPER MIDWEST,April
712,IOWA,2022-04-15,UPPER MIDWEST,April
713,MICHIGAN,2021-04-30,UPPER MIDWEST,April
714,MINNESOTA,2021-05-01,UPPER MIDWEST,May
715,WISCONSIN,2019-05-10,UPPER MIDWEST,May
716,MICHIGAN,2019-05-15,UPPER MIDWEST,May
717,IOWA,2022-05-22,UPPER MIDWEST,May
718,IOWA,2023-05-17,UPPER MIDWEST,May
719,WISCONSIN,2023-05-14,UPPER MIDWEST,May
720,MICHIGAN,2019-05-14,UPPER MIDWEST,May
721,WISCONSIN,2021-05-01,UPPER MIDWEST,May
722,MICHIGAN,2023-05-02,UPPER MIDWEST,May
723,WISCONSIN,2020-05-09,UPPER MIDWEST,May
724,WISCONSIN,2020-05-11,UPPER MIDWEST,May
725,MICHIGAN,2020-05-11,UPPER MIDWEST,May
726,IOWA,2021-06-15,UPPER MIDWEST,June
727,MINNESOTA,2022-06-01,UPPER MIDWEST,June
728,MICHIGAN,2020-06-15,UPPER MIDWEST,June
729,MICHIGAN,2020-06-16,UPPER MIDWEST,June
730,MICHIGAN,2021-06-05,UPPER MIDWEST,June
731,IOWA,2020-06-30,UPPER MIDWEST,June
732,MICHIGAN,2020-06-12,UPPER MIDWEST,June
733,IOWA,2020-06-12,UPPER MIDWEST,June
734,MICHIGAN,2021-06-30,UPPER MIDWEST,June
735,MICHIGAN,2022-06-01,UPPER MIDWEST,June
736,IOWA,2020-06-11,UPPER MIDWEST,June
737,IOWA,2019-06-28,UPPER MIDWEST,June
738,WISCONSIN,2021-07-05,UPPER MIDWEST,July
739,MINNESOTA,2022-07-27,UPPER MIDWEST,July
740,MINNESOTA,2019-07-29,UPPER MIDWEST,July
741,IOWA,2020-07-31,UPPER MIDWEST,July
742,MINNESOTA,2022-07-24,UPPER MIDWEST,July
743,MINNESOTA,2021-07-16,UPPER MIDWEST,July
744,WISCONSIN,2019-07-02,UPPER MIDWEST,July
745,WISCONSIN,2022-07-01,UPPER MIDWEST,July
746,MINNESOTA,2021-07-04,UPPER MIDWEST,July
747,IOWA,2021-07-21,UPPER MIDWEST,July
748,MICHIGAN,2021-07-27,UPPER MIDWEST,July
749,WISCONSIN,2021-07-19,UPPER MIDWEST,July
750,IOWA,2022-07-27,UPPER MIDWEST,July
751,MINNESOTA,2022-07-02,UPPER MIDWEST,July
752,WISCONSIN,2022-07-27,UPPER MIDWEST,July
753,MICHIGAN,2022-07-04,UPPER MIDWEST,July
754,MICHIGAN,2019-07-29,UPPER MIDWEST,July
755,MINNESOTA,2021-07-04,UPPER MIDWEST,July
756,WISCONSIN,2023-08-27,UPPER MIDWEST,August
757,IOWA,2019-08-03,UPPER MIDWEST,August
758,WISCONSIN,2022-08-02,UPPER MIDWEST,August
759,MINNESOTA,2019-08-01,UPPER MIDWEST,August
760,MICHIGAN,2019-08-30,UPPER MIDWEST,August
761,MINNESOTA,2023-08-17,UPPER MIDWEST,August
762,MINNESOTA,2020-08-12,UPPER MIDWEST,August
763,MICHIGAN,2023-08-17,UPPER MIDWEST,August
764,WISCONSIN,2022-08-10,UPPER MIDWEST,August
765,MINNESOTA,2020-08-17,UPPER MIDWEST,August
766,MICHIGAN,2023-08-17,UPPER MIDWEST,August
767,WISCONSIN,2019-08-16,UPPER MIDWEST,August
768,WISCONSIN,2023-08-02,UPPER MIDWEST,August
769,MINNESOTA,2022-08-31,UPPER MIDWEST,August
770,WISCONSIN,2022-08-12,UPPER MIDWEST,August
771,MICHIGAN,2019-08-19,UPPER MIDWEST,August
772,MINNESOTA,2022-09-01,UPPER MIDWEST,September
773,MINNESOTA,2023-09-01,UPPER MIDWEST,September
774,WISCONSIN,2023-09-04,UPPER MIDWEST,September
775,MINNESOTA,2023-09-07,UPPER MIDWEST,September
776,IOWA,2020-09-14,UPPER MIDWEST,September
777,IOWA,2020-09-08,UPPER MIDWEST,September
778,MICHIGAN,2023-09-18,UPPER MIDWEST,September
779,MINNESOTA,2020-09-20,UPPER MIDWEST,September
780,MICHIGAN,2019-10-03,UPPER MIDWEST,October
781,MINNESOTA,2021-10-08,UPPER MIDWEST,October
782,WISCONSIN,2021-10-08,UPPER MIDWEST,October
783,MICHIGAN,2020-12-11,UPPER MIDWEST,December
784,NEVADA,2023-01-23,WEST,January
785,CALIFORNIA,2021-01-15,WEST,January
786,CALIFORNIA,2021-02-22,WEST,February
787,NEVADA,2021-02-07,WEST,February
788,NEVADA,2022-03-03,WEST,March
789,CALIFORNIA,2019-03-16,WEST,March
790,CALIFORNIA,2023-04-10,WEST,April
791,NEVADA,2023-04-24,WEST,April
792,CALIFORNIA,2022-05-29,WEST,May
793,CALIFORNIA,2019-05-10,WEST,May
794,CALIFORNIA,2022-06-28,WEST,June
795,CALIFORNIA,2019-08-31,WEST,August
796,NEVADA,2021-09-25,WEST,September
797,NEVADA,2019-11-25,WEST,November
798,CALIFORNIA,2022-12-24,WEST,December
